zipcode,zipcode_type,major_city,post_office_city,common_city_list,county,state,lat,lng,timezone,radius_in_miles,area_code_list,population,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income,bounds_west,bounds_east,bounds_north,bounds_south,area_code_list1,area_code_list2,common_city_list1,area_code_list3,area_code_list4,area_code_list5,common_city_list2,common_city_list3,area_code_list6,area_code_list7,area_code_list8,common_city_list4
60804,Standard,Cicero,"Cicero, IL",Cicero,Cook County,IL,41.84,-87.76,Central,2.0,312,84573.0,11036.0,7.66,0.14,24986.0,22758.0,157200.0,44177.0,-87.782691,-87.738533,41.867408,41.80436,708,773,Chicago,,,,,,,,,
02445,Standard,Brookline,"Brookline, MA",Brookline,Norfolk County,MA,42.32,-71.13,Eastern,2.0,617,20679.0,7945.0,2.6,0.05,8974.0,8564.0,705600.0,102087.0,-71.1694,-71.110637,42.34214,42.302147,857,,,,,,,,,,,
19142,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.92,-75.23,Eastern,1.0,215,29595.0,17554.0,1.69,0.01,10958.0,9636.0,84600.0,30306.0,-75.247759,-75.21911,39.93613,39.909127,,,Phila,,,,,,,,,
02116,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.35,-71.08,Eastern,0.9659090909090909,508,20628.0,32724.0,0.63,0.1,12644.0,11026.0,807600.0,87653.0,-71.087445,-71.062575,42.358697,42.343184,617,781,,978,857,,,,,,,
60642,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.9,-87.66,Central,1.0,312,18480.0,10855.0,1.7,0.03,9910.0,9047.0,370200.0,67591.0,-87.669703,-87.646405,41.918311,41.888718,,,,,,,,,,,,
60640,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.97,-87.66,Central,1.0,773,65790.0,27331.0,2.41,0.25,37598.0,34315.0,266900.0,46974.0,-87.679568,-87.634217,41.984231,41.961466,,,,,,,,,,,,
60456,Standard,Hometown,"Hometown, IL",Hometown,Cook County,IL,41.73,-87.73,Central,0.7386363636363636,708,4349.0,9081.0,0.48,0.0,1935.0,1848.0,129500.0,49667.0,-87.741208,-87.721435,41.734862,41.727419,,,Oak Lawn,,,,,,,,,
19133,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.99,-75.14,Eastern,0.9090909090909091,215,26063.0,20038.0,1.3,0.0,10227.0,8732.0,50700.0,14185.0,-75.154938,-75.128748,40.002491,39.983166,267,,Phila,,,,,,,,,
60302,Standard,Oak Park,"Oak Park, IL",Oak Park,Cook County,IL,41.89,-87.79,Central,1.0,708,32108.0,10656.0,3.01,0.0,15670.0,14535.0,386700.0,77385.0,-87.805826,-87.774664,41.909254,41.87815,773,,,,,,,,,,,
60612,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.69,Central,2.0,312,33472.0,8933.0,3.75,0.0,15513.0,13070.0,254200.0,35318.0,-87.708466,-87.666457,41.895664,41.865922,773,872,,,,,,,,,,
60618,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.95,-87.7,Central,2.0,872,92084.0,18195.0,5.06,0.0,39547.0,35407.0,336300.0,55577.0,-87.727828,-87.677525,41.963204,41.931799,773,,,,,,,,,,,
02139,Standard,Cambridge,"Cambridge, MA",Cambridge,Middlesex County,MA,42.36,-71.1,Eastern,1.0,339,36349.0,23355.0,1.56,0.14,15402.0,14519.0,488800.0,71745.0,-71.117193,-71.086975,42.376332,42.352397,781,978,,508,617,857,,,,,,
02114,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.363,-71.066,Eastern,0.6818181818181818,617,11999.0,26694.0,0.45,0.12,7672.0,6956.0,479500.0,80500.0,-71.077095,-71.057709,42.369097,42.355507,339,857,,,,,,,,,,
